City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Lovington,US,2021-10-27 18:48:21,32.944,-103.3485,64.17,27,0,4.0
210,Salalah,OM,2021-10-27 18:48:21,17.0151,54.0924,78.89,61,0,3.44
211,Mayo,US,2021-10-27 18:48:22,38.8876,-76.5119,72.36,60,1,10.0
212,Mazyr,BY,2021-10-27 18:48:22,52.0495,29.2456,43.43,87,67,8.03
213,Cockburn Town,TC,2021-10-27 18:48:23,21.4612,-71.1419,84.16,74,75,8.05
214,Teahupoo,PF,2021-10-27 18:48:23,-17.8333,-149.2667,76.96,79,12,10.65
215,Quanzhou,CN,2021-10-27 18:48:24,24.9139,118.5858,74.16,78,91,9.89
216,Saint George,US,2021-10-27 18:45:43,37.1041,-113.5841,63.07,42,1,1.99
217,Iseyin,NG,2021-10-27 18:48:24,7.9667,3.6,75.81,88,99,4.94
218,Partyzany,UA,2021-10-27 18:48:25,46.3314,34.7503,43.54,76,0,1.95
219,Gelemso,ET,2021-10-27 18:48:25,8.8167,40.5167,63.07,52,30,1.48
220,Avarua,CK,2021-10-27 18:48:26,-21.2078,-159.775,73.45,83,75,10.36
221,Antofagasta,CL,2021-10-27 18:48:26,-23.65,-70.4,63.68,56,3,9.44
222,Auki,SB,2021-10-27 18:48:27,-8.7676,160.7034,77.68,87,22,4.56
223,Marawi,PH,2021-10-27 18:48:27,7.9986,124.2928,64.65,93,100,3.91
224,Cape Town,ZA,2021-10-27 18:48:28,-33.9258,18.4232,70.88,66,0,5.01
225,Berwick,US,2021-10-27 18:48:28,41.0545,-76.2333,66.34,67,100,10.29
226,Narsaq,GL,2021-10-27 18:48:29,60.9167,-46.05,35.82,68,7,4.83
227,Zhirnovsk,RU,2021-10-27 18:48:29,50.9845,44.7735,36.68,45,4,10.33
228,Eureka,US,2021-10-27 18:48:29,40.8021,-124.1637,66.63,90,100,5.01
229,Umm Lajj,SA,2021-10-27 18:48:30,25.0213,37.2685,80.17,64,0,6.55
230,Barra,BR,2021-10-27 18:48:30,-11.0894,-43.1417,90.86,30,0,7.92
231,Sebinkarahisar,TR,2021-10-27 18:48:31,40.2883,38.4236,44.06,30,0,1.61
232,Ostersund,SE,2021-10-27 18:48:31,63.1792,14.6357,45.05,81,90,6.91
233,Lagoa,PT,2021-10-27 18:48:32,39.05,-27.9833,67.57,65,82,22.35
234,Temir,KZ,2021-10-27 18:48:32,49.1414,57.13,33.44,42,14,7.52
235,Malakal,SS,2021-10-27 18:48:32,9.5334,31.6605,76.15,77,96,3.22
236,Geraldton,AU,2021-10-27 18:48:33,-28.7667,114.6,55.81,94,90,5.75
237,Jawala Mukhi,IN,2021-10-27 18:48:33,31.8833,76.3167,60.33,57,0,3.83
238,Abyek,IR,2021-10-27 18:48:34,36.0667,50.55,42.4,57,75,4.07
239,Loandjili,CG,2021-10-27 18:48:34,-4.7561,11.8578,78.91,83,75,3.44
240,Castlebar,IE,2021-10-27 18:48:35,53.85,-9.3,56.59,90,100,9.37
241,Victoria,HK,2021-10-27 18:44:15,22.2855,114.1577,78.85,85,83,1.01
242,Kanniyakumari,IN,2021-10-27 18:48:35,8.0833,77.5667,79.03,80,89,5.79
243,Trat,TH,2021-10-27 18:48:36,12.5,102.5,74.68,96,100,4.12
244,Coahuayana,MX,2021-10-27 18:48:36,18.7333,-103.6833,89.11,56,100,5.97
245,Lavrentiya,RU,2021-10-27 18:48:37,65.5833,-171.0,13.87,74,56,7.99
246,Mandalgovi,MN,2021-10-27 18:48:37,45.7625,106.2708,37.09,36,0,9.35
247,Palenque,MX,2021-10-27 18:48:37,17.5167,-91.9667,89.46,69,98,4.41
